,year,cluster_reviewed,5/15,5/16,5/17,5/18,5/19,5/20,5/21,5/22,5/23,5/24,5/25,5/26,reviewer,notes
52,2023,RK1021_0,1,1,1,1,1,1,1,1,1,1,1,1,SL,
52,2024,RK1021_0,,1,,,1,1,,,,,,1,SL,
53,2021,RK1021_1,,,,,,,,,,,,,SL,
53,2022,RK1021_1,,,1,,1,1,1,1,1,,,,SL,
53,2023,RK1021_1,,,,,,,,,,,,,SL,
53,2024,RK1021_1,,,,,,,,,,,,,SL,
54,2021,RK1021_2,1,1,1,1,,,1,1,,,,,SL,
54,2022,RK1021_2,,,,,,,,,,,,,SL,
54,2023,RK1021_2,,,,,,,,,,,,,SL,
54,2024,RK1021_2,,,,,,,,,,,,,SL,
55,2021,RK1021_3,,,,,,,,,,,,,SL,
55,2022,RK1021_3,,,,,,,,,,,,,SL,
55,2023,RK1021_3,1,1,,,1,1,1,1,1,1,,1,SL,
55,2024,RK1021_3,,,,,,,,,,,,,SL,
56,2021,RK1022_0,,,,,,,,,,,,,SL,
56,2022,RK1022_0,,,,,,,,,,,,,SL,
56,2023,RK1022_0,,,,,,,,,,,,,SL,
56,2024,RK1022_0,1,1,1,1,1,1,1,1,1,1,1,1,SL,
57,2021,RK1022_1,1,1,,,,,,,,,,,SL,
57,2022,RK1022_1,,1,1,1,1,,,,,,,,SL,
57,2023,RK1022_1,1,1,1,1,1,1,1,1,1,1,,1,SL,
57,2024,RK1022_1,,,,,,,1,,,,,1,SL,
58,2021,RK1022_2,,,,,,,,,,,,,SL,
58,2022,RK1022_2,,,,,,,,,,,,,SL,
58,2023,RK1022_2,,,,,,,,,,,,,SL,
58,2024,RK1022_2,1,1,1,1,,1,1,1,,1,,,SL,
59,2021,RK1024_0,,,,,,,,,,,,,SL,
59,2022,RK1024_0,,,,,1,1,1,1,1,1,1,1,SL,
59,2023,RK1024_0,,,1,,,1,,,,1,1,,SL,
59,2024,RK1024_0,,,,,,,,,,,,,SL,
60,2021,RK1026_0,,,,,,,,,,,,,SL,
60,2022,RK1026_0,,,,,,,,,,,,,SL,
60,2023,RK1026_0,1,1,1,1,1,1,,,1,,,,SL,
60,2024,RK1026_0,1,1,1,1,1,1,1,1,1,1,1,1,SL,
61,2021,RK1026_1,1,1,1,1,1,1,1,,,,,,SL,
61,2022,RK1026_1,,1,1,,1,1,1,1,1,1,1,1,SL,
